residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
5165,0001010000101101,1011010000101000,5
5173,0001010000110101,1010110000101000,5
5181,0001010000111101,1011110000101000,5
5189,0001010001000101,1010001000101000,5
5197,0001010001001101,1011001000101000,5
5205,0001010001010101,1010101000101000,5
5213,0001010001011101,1011101000101000,5
5221,0001010001100101,1010011000101000,5
5237,0001010001110101,1010111000101000,5
5245,0001010001111101,1011111000101000,5
5253,0001010010000101,1010000100101000,5
5261,0001010010001101,1011000100101000,5
5269,0001010010010101,1010100100101000,5
5277,0001010010011101,1011100100101000,5
5285,0001010010100101,1010010100101000,5
5293,0001010010101101,1011010100101000,5
5301,0001010010110101,1010110100101000,5
5309,0001010010111101,1011110100101000,5
5317,0001010011000101,1010001100101000,5
5325,0001010011001101,1011001100101000,5
5333,0001010011010101,1010101100101000,5
5341,0001010011011101,1011101100101000,5
5349,0001010011100101,1010011100101000,5
5357,0001010011101101,1011011100101000,5
5365,0001010011110101,1010111100101000,5
5373,0001010011111101,1011111100101000,5
5381,0001010100000101,1010000010101000,5
5389,0001010100001101,1011000010101000,5
5397,0001010100010101,1010100010101000,5
5405,0001010100011101,1011100010101000,5
5413,0001010100100101,1010010010101000,5
5421,0001010100101101,1011010010101000,5
5429,0001010100110101,1010110010101000,5
5437,0001010100111101,1011110010101000,5
5445,0001010101000101,1010001010101000,5
5461,0001010101010101,1010101010101000,5
5469,0001010101011101,1011101010101000,5
5477,0001010101100101,1010011010101000,5
5485,0001010101101101,1011011010101000,5
5493,0001010101110101,1010111010101000,5
5501,0001010101111101,1011111010101000,5
5509,0001010110000101,1010000110101000,5
5517,0001010110001101,1011000110101000,5
5525,0001010110010101,1010100110101000,5
5533,0001010110011101,1011100110101000,5
5541,0001010110100101,1010010110101000,5
5549,0001010110101101,1011010110101000,5
5557,0001010110110101,1010110110101000,5
5565,0001010110111101,1011110110101000,5
5573,0001010111000101,1010001110101000,5
5581,0001010111001101,1011001110101000,5
5589,0001010111010101,1010101110101000,5
5597,0001010111011101,1011101110101000,5
5613,0001010111101101,1011011110101000,5
5621,0001010111110101,1010111110101000,5
5637,0001011000000101,1010000001101000,5
5645,0001011000001101,1011000001101000,5
5653,0001011000010101,1010100001101000,5
5661,0001011000011101,1011100001101000,5
5669,0001011000100101,1010010001101000,5
5677,0001011000101101,1011010001101000,5
5685,0001011000110101,1010110001101000,5
5693,0001011000111101,1011110001101000,5
5701,0001011001000101,1010001001101000,5
5709,0001011001001101,1011001001101000,5
5717,0001011001010101,1010101001101000,5
5725,0001011001011101,1011101001101000,5
5733,0001011001100101,1010011001101000,5
5741,0001011001101101,1011011001101000,5
5749,0001011001110101,1010111001101000,5
5765,0001011010000101,1010000101101000,5
5773,0001011010001101,1011000101101000,5
5781,0001011010010101,1010100101101000,5
5789,0001011010011101,1011100101101000,5
5797,0001011010100101,1010010101101000,5
5805,0001011010101101,1011010101101000,5
5813,0001011010110101,1010110101101000,5
5821,0001011010111101,1011110101101000,5
5829,0001011011000101,1010001101101000,5
5837,0001011011001101,1011001101101000,5
5845,0001011011010101,1010101101101000,5
5853,0001011011011101,1011101101101000,5
5861,0001011011100101,1010011101101000,5
5869,0001011011101101,1011011101101000,5
5877,0001011011110101,1010111101101000,5
5893,0001011100000101,1010000011101000,5
5901,0001011100001101,1011000011101000,5
5909,0001011100010101,1010100011101000,5
5917,0001011100011101,1011100011101000,5
5925,0001011100100101,1010010011101000,5
5933,0001011100101101,1011010011101000,5
5941,0001011100110101,1010110011101000,5
5949,0001011100111101,1011110011101000,5
5957,0001011101000101,1010001011101000,5
5965,0001011101001101,1011001011101000,5
5973,0001011101010101,1010101011101000,5
5981,0001011101011101,1011101011101000,5
5989,0001011101100101,1010011011101000,5
5997,0001011101101101,1011011011101000,5
6005,0001011101110101,1010111011101000,5
6013,0001011101111101,1011111011101000,5
6021,0001011110000101,1010000111101000,5
6029,0001011110001101,1011000111101000,5
6037,0001011110010101,1010100111101000,5
6045,0001011110011101,1011100111101000,5
6053,0001011110100101,1010010111101000,5
6069,0001011110110101,1010110111101000,5
6077,0001011110111101,1011110111101000,5
6085,0001011111000101,1010001111101000,5
6093,0001011111001101,1011001111101000,5
6101,0001011111010101,1010101111101000,5
6109,0001011111011101,1011101111101000,5
6117,0001011111100101,1010011111101000,5
6125,0001011111101101,1011011111101000,5
6133,0001011111110101,1010111111101000,5
6141,0001011111111101,1011111111101000,5
6149,0001100000000101,1010000000011000,5
6157,0001100000001101,1011000000011000,5
6165,0001100000010101,1010100000011000,5
