k,total_residuals,j,modulus,residue_mod,residue_mod_binary_msb_first,residue_mod_binary_lsb_first,count,fraction_of_residuals,s2_branch_capacity,density_within_s2_bucket
16,378,12,4096,2685,101001111101,101111100101,5,0.013227513228,16,0.312500000000
16,378,12,4096,2709,101010010101,101010010101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2717,101010011101,101110010101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2725,101010100101,101001010101,11,0.029100529101,16,0.687500000000
16,378,12,4096,2813,101011111101,101111110101,5,0.013227513228,16,0.312500000000
16,378,12,4096,2877,101100111101,101111001101,5,0.013227513228,16,0.312500000000
16,378,12,4096,2925,101101101101,101101101101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2949,101110000101,101000011101,1,0.002645502646,16,0.062500000000
16,378,12,4096,2973,101110011101,101110011101,5,0.013227513228,16,0.312500000000
16,378,12,4096,2981,101110100101,101001011101,1,0.002645502646,16,0.062500000000
16,378,12,4096,3005,101110111101,101111011101,5,0.013227513228,16,0.312500000000
16,378,12,4096,3021,101111001101,101100111101,1,0.002645502646,16,0.062500000000
16,378,12,4096,3053,101111101101,101101111101,1,0.002645502646,16,0.062500000000
16,378,12,4096,3061,101111110101,101011111101,1,0.002645502646,16,0.062500000000
16,378,12,4096,3069,101111111101,101111111101,11,0.029100529101,16,0.687500000000
16,378,12,4096,3109,110000100101,101001000011,1,0.002645502646,16,0.062500000000
16,378,12,4096,3173,110001100101,101001100011,1,0.002645502646,16,0.062500000000
16,378,12,4096,3181,110001101101,101101100011,11,0.029100529101,16,0.687500000000
16,378,12,4096,3197,110001111101,101111100011,1,0.002645502646,16,0.062500000000
