k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
5,32,5,current_mod_2^5,5,97,184,0.0283129013,0.0533024334,-0.024989532,97,184,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0283129013,0.0533024334,-0.024989532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.36956522,-1.673976407793,-0.54384516092,2.99977713452,1.571615043298
5,32,7,current_mod_2^5,7,342,274,0.0998248687,0.0793742758,0.0204505929,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64233577,0.35766423,0.0289563307,0.30090983,0.41441864,12.351849,3.0,3.0,0.0,1.0,1.47810219,0.523248468713,0.191852958898,0.951254052341,1.151091637792
5,32,9,current_mod_2^5,9,292,178,0.0852305896,0.0515643105,0.0336662791,292,178,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0852305896,0.0515643105,0.0336662791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.34831461,-0.28768196147,-0.529115360063,1.520625707282,1.492853634065
5,32,11,current_mod_2^5,11,275,226,0.0802685347,0.0654692932,0.0147992416,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.72566372,0.27433628,0.0296793995,0.21616466,0.33250791,9.243323,2.0,2.0,0.0,1.0,1.38938053,0.117783898329,-0.152114981553,0.945671988184,1.215691301572
5,32,13,current_mod_2^5,13,133,179,0.0388207823,0.0518539977,-0.0130332154,133,179,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0388207823,0.0518539977,-0.0130332154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.3575419,-0.980828648552,-0.535511231982,1.907477230839,1.480489930817
5,32,15,current_mod_2^5,15,279,280,0.0814360771,0.0811123986,0.0003236784,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82437276,0.89642857,-0.07205581,0.0291636781,-0.12921662,-0.014895,-2.470738,4.0,4.0,0.0,1.77777778,1.50357143,0.38959911226,0.579664135948,1.193064328222,0.990092651076
5,32,17,current_mod_2^5,17,252,169,0.0735551664,0.0489571263,0.0245980401,252,169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0735551664,0.0489571263,0.0245980401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.4556213,-0.287681886962,-0.60349469318,1.463596248097,1.681552312029
5,32,19,current_mod_2^5,19,125,215,0.0364856976,0.0622827346,-0.025797037,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74418605,-0.74418605,0.0297566232,-0.80250903,-0.68586306,-25.009089,2.0,2.0,0.0,2.0,1.33953488,-0.575363942535,-0.117564611697,1.316736967545,1.230349517334
5,32,21,current_mod_2^5,21,23,177,0.0067133684,0.0512746234,-0.044561255,23,177,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0067133684,0.0512746234,-0.044561255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.13043478,1.37288136,-2.457534105193,-0.546143733,3.14928013754,1.495463783852
5,32,23,current_mod_2^5,23,186,278,0.054290718,0.0805330243,-0.0262423063,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64388489,-0.64388489,0.0287195029,-0.70017512,-0.58759467,-22.419778,3.0,3.0,0.0,2.2688172,1.5,-0.356227724671,0.176674553485,1.49590772303,1.285899111708
