source,prev_exit_v2,next_exit_v2,count,fraction,geometric_fraction,diff_vs_geometric
local_all_starts,6,11,21,0.00053759,0.00048828,4.931e-05
local_all_starts,6,12,7,0.0001792,0.00024414,-6.494e-05
local_all_starts,6,13,3,7.68e-05,0.00012207,-4.527e-05
local_all_starts,6,14,4,0.0001024,6.104e-05,4.136e-05
local_all_starts,6,15,1,2.56e-05,3.052e-05,-4.92e-06
local_all_starts,6,16,2,5.12e-05,1.526e-05,3.594e-05
chain_before_descent,7,1,179,0.53915663,0.5,0.03915663
chain_before_descent,7,2,90,0.27108434,0.25,0.02108434
chain_before_descent,7,3,35,0.10542169,0.125,-0.01957831
chain_before_descent,7,4,13,0.03915663,0.0625,-0.02334337
chain_before_descent,7,5,10,0.03012048,0.03125,-0.00112952
chain_before_descent,7,6,3,0.00903614,0.015625,-0.00658886
chain_before_descent,7,7,1,0.00301205,0.0078125,-0.00480045
chain_before_descent,7,12,1,0.00301205,0.00024414,0.00276791
local_all_starts,7,1,9768,0.50017922,0.5,0.00017922
local_all_starts,7,2,4887,0.25024323,0.25,0.00024323
local_all_starts,7,3,2442,0.12504481,0.125,4.481e-05
local_all_starts,7,4,1209,0.06190793,0.0625,-0.00059207
local_all_starts,7,5,613,0.03138922,0.03125,0.00013922
local_all_starts,7,6,301,0.01541298,0.015625,-0.00021202
local_all_starts,7,7,157,0.00803933,0.0078125,0.00022683
local_all_starts,7,8,73,0.00373803,0.00390625,-0.00016822
local_all_starts,7,9,41,0.00209944,0.00195312,0.00014632
local_all_starts,7,10,20,0.00102412,0.00097656,4.756e-05
local_all_starts,7,11,5,0.00025603,0.00048828,-0.00023225
local_all_starts,7,12,7,0.00035844,0.00024414,0.0001143
local_all_starts,7,13,2,0.00010241,0.00012207,-1.966e-05
local_all_starts,7,14,3,0.00015362,6.104e-05,9.258e-05
local_all_starts,7,15,1,5.121e-05,3.052e-05,2.069e-05
chain_before_descent,8,1,38,0.44705882,0.5,-0.05294118
chain_before_descent,8,2,25,0.29411765,0.25,0.04411765
chain_before_descent,8,3,10,0.11764706,0.125,-0.00735294
chain_before_descent,8,4,12,0.14117647,0.0625,0.07867647
local_all_starts,8,1,4894,0.50117768,0.5,0.00117768
local_all_starts,8,2,2439,0.24976959,0.25,-0.00023041
local_all_starts,8,3,1220,0.124936,0.125,-6.4e-05
local_all_starts,8,4,610,0.062468,0.0625,-3.2e-05
local_all_starts,8,5,306,0.03133641,0.03125,8.641e-05
local_all_starts,8,6,146,0.01495136,0.015625,-0.00067364
local_all_starts,8,7,80,0.00819252,0.0078125,0.00038002
local_all_starts,8,8,34,0.00348182,0.00390625,-0.00042443
local_all_starts,8,9,19,0.00194572,0.00195312,-7.4e-06
local_all_starts,8,10,9,0.00092166,0.00097656,-5.49e-05
local_all_starts,8,11,4,0.00040963,0.00048828,-7.866e-05
local_all_starts,8,15,4,0.00040963,3.052e-05,0.00037911
