n,block,current_odd,tail,odd_factor,exit_v2,next_odd,next_tail,steps_to_next_odd,compressed_steps,local_odd_ratio,cumulative_odd_ratio,local_peak_ratio,cumulative_peak_ratio,local_log_ratio,cumulative_log_ratio,status_after
626331,30,4648417,1,2324209,1,3486313,1,3,225,0.750000053782,5.566246920558,3.000000215127,22.264987682232,-0.287682000743,1.716721024419,continue
626331,31,3486313,1,1743157,1,2614735,4,3,228,0.750000071709,4.174685589568,3.000000286836,16.698742358274,-0.28768197684,1.429039047579,continue
626331,32,2614735,4,163421,2,3309275,2,10,238,1.265625388424,5.283588070844,10.125003107389,42.268704566755,0.235566378215,1.664605425795,continue
626331,33,3309275,2,827319,1,3722935,3,5,243,1.125000188863,5.944037577575,4.500000755452,23.776150310299,0.117783203535,1.782388629329,continue
626331,34,3722935,3,465367,2,3141227,2,8,251,0.843750159484,5.01528265406,6.750001275875,40.122261232479,-0.169898847777,1.612489781552,continue
626331,35,3141227,2,785307,1,3533881,1,5,256,1.125000198967,5.642193983692,4.500000795867,22.568775934769,0.117783212516,1.730272994068,continue
626331,36,3533881,1,1766941,1,2650411,2,3,259,0.750000070744,4.231645886919,3.000000282975,16.926583547677,-0.287681978127,1.442591015941,continue
626331,37,2650411,2,662603,1,2981713,1,5,264,1.125000235812,4.760602620659,4.50000094325,19.042410482636,0.117783245267,1.560374261209,continue
626331,38,2981713,1,1490857,1,2236285,1,3,267,0.750000083844,3.570452364644,3.000000335378,14.281809458577,-0.287681960659,1.27269230055,continue
626331,39,2236285,1,1118143,2,838607,4,4,271,0.375000055896,1.338919836317,3.00000044717,10.711358690533,-0.980829103955,0.291863196595,continue
626331,40,838607,4,52413,2,1061363,2,10,281,1.265626211086,1.694572039385,10.125009688686,13.556576315079,0.23556702822,0.527430224814,continue
626331,41,1061363,2,265341,2,597017,1,6,287,0.562500294433,0.953197271091,4.500002355462,7.625578168732,-0.575363621468,-0.047933396654,drop
667375,1,667375,4,41711,1,1689295,4,9,9,2.531253043641,2.531253043641,10.125012174565,10.125012174565,0.928714454298,0.928714454298,continue
667375,2,1689295,4,105581,2,2138015,5,10,19,1.265625601212,3.203618655179,10.125004809699,25.628949241431,0.235566546345,1.164281000643,continue
667375,3,2138015,5,66813,1,8117779,2,11,30,3.796876542026,12.163744521446,15.187506168105,48.654978085784,1.334178766111,2.498459766754,continue
667375,4,8117779,2,2029445,2,4566251,2,6,36,0.562500038496,6.842106761566,4.500000307966,54.736854092527,-0.575364076467,1.923095690287,continue
667375,5,4566251,2,1141563,1,5137033,1,5,41,1.125000136874,7.697371043267,4.500000547495,30.789484173066,0.117783157322,2.040878847609,continue
667375,6,5137033,1,2568517,1,3852775,3,3,44,0.750000048666,5.773028657052,3.000000194665,23.092114628208,-0.287682007563,1.753196840046,continue
667375,7,3852775,3,481597,1,6501559,3,7,51,1.687500308219,9.741987638134,6.750001232878,38.967950552538,0.523248326413,2.276445166459,continue
667375,8,6501559,3,812695,2,5485691,2,8,59,0.843750091324,8.219802959356,6.750000730594,65.758423674845,-0.169898928559,2.106546237899,continue
667375,9,5485691,2,1371423,1,6171403,2,5,64,1.125000113933,9.24727926578,4.500000455731,36.98911706312,0.11778313693,2.224329374829,continue
667375,10,6171403,2,1542851,1,6942829,1,5,69,1.125000101274,10.403190110508,4.500000405094,41.61276044203,0.117783125677,2.342112500507,continue
667375,11,6942829,1,3471415,2,2603561,1,4,73,0.375000018004,3.901196478741,3.000000144034,31.209571829931,-0.980829205001,1.361283295506,continue
667375,12,2603561,1,1301781,1,1952671,5,3,76,0.750000096022,2.925897733658,3.000000384089,11.703590934632,-0.287681944422,1.073601351084,continue
667375,13,1952671,5,61021,1,7414051,2,11,87,3.796876688392,11.109272897546,15.18750675357,44.437091590185,1.33417880466,2.407780155744,continue
667375,14,7414051,2,1853513,4,1042601,1,8,95,0.140625010537,1.562241618281,4.500000337198,49.991731784978,-1.961658431091,0.446121724654,continue
667375,15,1042601,1,521301,1,781951,7,3,98,0.750000239785,1.171681588312,3.00000095914,4.68672635325,-0.287681752739,0.158439971915,continue
667375,16,781951,7,6109,1,6680191,7,15,113,8.542979035771,10.009651245552,34.171916143083,40.038604982206,2.145109780201,2.303549752116,continue
667375,17,6680191,7,52189,1,57068671,7,15,128,8.542969954003,85.512149840794,34.171879816011,342.048599363177,2.145108717132,4.448658469248,continue
667375,18,57068671,7,445849,1,487535881,1,15,143,8.542968890935,730.52763588687,34.17187556374,2922.110543547481,2.145108592694,6.593767061942,continue
667375,19,487535881,1,243767941,1,365651911,3,3,146,0.750000000513,547.895727289755,3.000000002051,2191.582909159019,-0.287682071768,6.306084990174,continue
667375,20,365651911,3,45706489,1,617037601,1,7,153,1.687500003248,924.57404158082,6.75000001299,3698.296166323281,0.523248145689,6.829333135863,continue
667375,21,617037601,1,308518801,1,462778201,1,3,156,0.750000000405,693.430531560217,3.000000001621,2773.722126240869,-0.287682071912,6.541651063952,continue
667375,22,462778201,1,231389101,1,347083651,2,3,159,0.75000000054,520.072899044765,3.000000002161,2080.29159617906,-0.287682071731,6.25396899222,continue
667375,23,347083651,2,86770913,3,97617277,1,7,166,0.28125000045,146.270503090466,4.500000007203,2340.328049447462,-1.268511323863,4.985457668358,continue
667375,24,97617277,1,48808639,2,36606479,4,4,170,0.375000001281,54.851438846226,3.000000010244,438.811510769807,-0.980829249597,4.004628418761,continue
667375,25,36606479,4,2287905,4,11582519,3,12,182,0.316406256936,17.355338452894,10.125000221955,555.370830492602,-1.150728267886,2.853900150875,continue
667375,26,11582519,3,1447815,2,9772751,4,8,190,0.843750051263,14.643567709309,6.750000410101,117.148541674471,-0.16989897604,2.684001174835,continue
667375,27,9772751,4,610797,2,12368639,8,10,200,1.265625103924,18.533266903915,10.125000831393,148.266135231317,0.235566153426,2.919567328261,continue
667375,28,12368639,8,48315,1,158497357,1,17,217,12.814454120619,237.493698445402,51.257816482476,949.974793781607,2.550573762,5.470141090261,continue
667375,29,158497357,1,79248679,2,59436509,1,4,221,0.375000000789,89.060137104327,3.000000006309,712.481096834613,-0.980829250909,4.489311839353,continue
667375,30,59436509,1,29718255,2,22288691,2,4,225,0.375000002103,33.397551601423,3.000000016825,267.180412811388,-0.980829247404,3.508482591949,continue
667375,31,22288691,2,5572173,2,12537389,1,6,231,0.562500014021,18.786123244053,4.500000112165,150.288985952426,-0.575364119978,2.933118471971,continue
667375,32,12537389,1,6268695,2,4701521,1,4,235,0.37500000997,7.044796403821,3.000000079761,56.358371230568,-0.980829226425,1.952289245546,continue
667375,33,4701521,1,2350761,1,3526141,1,3,238,0.750000053174,5.283597677468,3.000000212697,21.134390709871,-0.287682001553,1.664607243994,continue
667375,34,3526141,1,1763071,2,1322303,6,4,242,0.37500003545,1.981349316351,3.000000283596,15.850794530811,-0.98082915848,0.683778085514,continue
667375,35,1322303,6,20661,2,3765467,2,14,256,2.847658214494,5.64220565649,22.781265715952,45.13764525192,1.046496977392,1.730275062906,continue
667375,36,3765467,2,941367,1,4236151,3,5,261,1.125000165982,6.347482300056,4.500000663928,25.389929200225,0.117783183196,1.848058246102,continue
667375,37,4236151,3,529519,2,3574253,1,8,269,0.843750140163,5.355689080352,6.750001121301,42.845512642817,-0.169898870677,1.678159375425,continue
667375,38,3574253,1,1787127,2,1340345,1,4,273,0.375000034972,2.008383592433,3.000000279779,16.067068739464,-0.980829159752,0.697330215673,continue
667375,39,1340345,1,670173,1,1005259,2,3,276,0.750000186519,1.506288068927,3.000000746077,6.025152275707,-0.28768182376,0.409648391914,continue
667375,40,1005259,2,251315,1,1130917,1,5,281,1.12500062173,1.694575014048,4.500002486921,6.77830005619,0.117783588305,0.527431980219,continue
667375,41,1130917,1,565459,3,212047,4,5,286,0.187500055265,0.317732908784,3.000000884238,5.083726540551,-1.673976138826,-1.146544158607,drop
704623,1,704623,4,44039,1,1783579,2,9,9,2.531252882747,2.531252882747,10.125011530989,10.125011530989,0.928714390735,0.928714390735,continue
704623,2,1783579,2,445895,1,2006527,9,5,14,1.125000350419,2.84766038009,4.500001401676,11.390641520359,0.11778334714,1.046497737875,continue
704623,3,2006527,9,3919,2,19284419,2,20,34,9.610844508945,27.368421127326,76.88675607156,218.94736901861,2.262892097263,3.309389835138,continue
704623,4,19284419,2,4821105,3,5423743,7,7,41,0.281250008102,7.69736866381,4.500000129638,123.157898620965,-1.268511296655,2.040878538483,continue
